compte;intitule
10100;CAPITAL
10610;RESERVE LEGALE
11000;REPORT A NOUVEAU
11010;REPORT A NOUVEAU SOLDE CREDITEUR
11200;AUTRES PRODUITS ET CHARGES
11900;REPORT A NOUVEAU SOLDE DEBITEUR
12800;RESULTAT EN INSTANCE
13300;IMPOTS DIFFERES ACTIFS
16110;EMPRUNT A LT
16510;ENMPRUNT A MOYEN TERME
20124;FRAIS DE REHABILITATION
20800;AUTRES IMMOB INCORPORELLES
21100;TERRAINS
21200;CONSTRUCTION
21300;MATERIEL ET OUTILLAGE
21510;MATERIEL AUTOMOBILE
21520;MATERIEL MOTO
21600;AGENCEMENT. AM .INST
21810;MATERIELS ET MOBILIERS DE BUREAU
21819;MATERIELS INFORMATIQUES ET AUTRES
21820;MAT. MOB DE LOGEMENT
21880;AUTRES IMMOBILISATIONS CORP
23000;IMMOBILISATION EN COURS
28000;AMORT IMMOB INCORP
28120;AMORTISSEMENT DES CONSTRUCTIONS
28130;AMORT MACH-MATER-OUTIL
28150;AMORT MAT DE TRANSPORT
28160;AMORT A.A.I
28181;AMORT MATERIEL&MOB
28182;AMORTISSEMENTS MATERIELS INFORMATIQ
28183;AMORT MATER & MOB LOGT
32110;STOCK MATIERES PREMIERES
35500;STOCK PRODUITS FINIS
37000;STOCK MARCHANDISES
39700;PROVISIONS/DEPRECIATIONS STOCKS
40110;FOURNISSEURS D''EXPLOITATIONS LOCAUX
40120;FOURNISSEURS D''EXPLOITATIONS ETRANGERS
40310;FOURNISSEURS D''IMMOBILISATION
40810;FRNS: FACTURE A RECEVOIR
40910;FRNS: AVANCES&ACOMPTES VERSER
40980;FRNS: RABAIS A OBTENIR
41110;CLIENTS LOCAUX
41120;CLIENTS ETRANGERS
41400;CLIENTS DOUTEUX
41800;CLIENTS FACTURE A RETABLIR
42100;PERSONNEL: SALAIRES A PAYER
42510;PERSONNEL: AVANCES QUINZAINES
42520;PERSONNEL: AVANCES SPECIALES
42860;PERS:CHARGES  A PAYER
43100;CNAPS
43120;OSTIE
44200;ETAT IBS
44210;ACOMPTE IBS
44321;TVA ... IMPUTER:DEC ULTERIEURE
44500;ETAT:IRSA VERSER
44560;ETAT: TVA DEDUCTIBLE
44570;ETAT: TVA COLLECTEE
44571;TVA A VERSER
45100;COMPTE  COURANT ASSOC
46700;DEB/CRED DIVERS
46800;CHARGES A PAYER DEB/CRED DIVERS
48610;CHARGE CONSTATES D''AVANCE
49100;PERTE/CLIENTS
51200;BOA ANKORONDRANO
51201;BOA DOLLARS
51202;BNI MADAGASCAR
51203;BNI DOLLARS
53100;CAISSE
58110;VIREMENTINTERNE:BANQ/CAISSE
58130;VIREMENT INTERNE:BANQ/BANQ
58140;VIREMENT INTERNE CAISSE/CAISSE
70110;VENTE LOCALE
70120;VENTES  A  L EXPORTATION
70800;AUTRES PROD  DES ACT ANNEX&ACS
71300;VARIATION DE STOCK  P.F
75800;AUTRES PRODUITS D EXPLOITATION
75810;ECART/ENCAISSEMENT
76200;INTERET CREDITEUR BANQUES BNI
76300;INTERET CREDITEUR BANQUES BOA
76600;DIFFERENCE DE CHANGE
